fitness,lr0,lrf,momentum,weight_decay,warmup_epochs,warmup_momentum,box,cls,dfl,hsv_h,hsv_s,hsv_v,degrees,translate,scale,shear,perspective,flipud,fliplr,bgr,mosaic,mixup,cutmix,copy_paste,close_mosaic
0.0,0.00775,0.01176,0.89147,0.00024,3.22828,0.6556,10.68727,0.43611,1.47679,0.01005,0.73388,0.5198,0.00071,0.08023,0.47675,4e-05,0.001,0.00034,0.50984,0.00852,0.5954,0.00638,0.00244,0.00148,10
0.0,0.00887,0.01101,0.85475,0.00033,4.09417,0.81736,9.43681,0.54107,1.32113,0.0,0.75118,0.65174,0.00149,0.06465,0.53831,0.0,0.00088,0.0,0.40596,0.00077,0.59639,0.00076,0.0,0.00119,10
0.0,0.00515,0.01191,0.7813,0.0004,3.34976,0.78352,6.09243,0.60346,1.03991,0.01958,0.77217,0.60556,0.00101,0.10396,0.48542,0.00128,0.00017,0.0004,0.40625,0.00064,0.95701,0.00097,0.0,0.00022,9
0.0,0.00659,0.01171,0.94285,0.00081,3.28069,0.75461,7.78485,0.60397,1.4862,0.00929,0.7664,0.71681,0.00152,0.13968,0.58162,0.00143,0.00082,0.00213,0.37205,0.0,0.67295,0.00523,0.00756,0.0,10
0.0,0.00573,0.01168,0.94896,0.00027,2.88401,0.78562,9.41662,0.4313,1.65946,0.01218,0.9,0.42578,0.00144,0.11211,0.45827,0.00015,0.00082,7e-05,0.47516,0.0,0.95556,0.0,0.00356,0.0,10
0.0,0.00959,0.01059,0.81094,0.001,2.97119,0.78185,8.715,0.4488,1.51097,0.00798,0.69471,0.38177,0.00052,0.09944,0.43604,0.00183,0.00054,0.00032,0.39237,0.0056,1.0,0.01055,0.0007,0.00084,9
0.0,0.00541,0.01334,0.8925,0.00019,2.78917,0.79929,10.11292,0.55528,1.52026,0.00138,0.58124,0.48119,0.0001,0.08623,0.55279,0.0,0.001,0.0002,0.36658,0.00054,0.70287,0.00242,0.0013,0.00114,9
0.0,0.00651,0.01068,0.88069,0.00054,3.11356,0.78059,5.10483,0.48706,1.66286,0.01474,0.9,0.54344,0.00062,0.12561,0.59857,0.00133,0.0008,0.0,0.37079,0.00357,1.0,0.0108,0.0,0.0005,10
0.0,0.01,0.01137,0.91728,0.001,3.05639,0.78461,6.64414,0.48278,1.56922,0.01028,0.67522,0.43669,0.00202,0.14904,0.62687,0.00158,0.001,0.00025,0.43786,0.01075,0.94439,0.01611,0.00813,0.0003,10
0.0,0.00596,0.01143,0.90681,0.00035,2.84859,0.584,11.26898,0.55295,1.46983,0.00205,0.66814,0.38134,0.00121,0.11428,0.53134,0.0,0.00026,0.00042,0.39151,0.00358,0.69518,0.00711,0.01118,0.0,9
